1:A1,1:A2,22:A1,22:A2,43:A1,43:A2,64:A1,64:A2,85:A1,85:A2,106:A1,106:A2,127:A1,127:A2,148:A1,148:A2,169:A1,169:A2,190:A1,190:A2,211:A1,211:A2,232:A1,232:A2,253:A1,253:A2,274:A1,274:A2,295:A1,295:A2,316:A1,316:A2,337:A1,337:A2,358:A1,358:A2,379:A1,379:A2,400:A1,400:A2,421:A1,421:A2
2.6316018e-08,-6.2455676e-09,3.053056e-08,-1.0342117e-08,2.0565246e-08,-1.2256076e-08,1.53503e-08,-1.0501798e-08,8.021582e-09,-9.610653e-09,4.8203586e-10,-7.826311e-09,-3.4330079e-09,-3.9716544e-10,-5.338678e-09,-1.024615e-09,-1.2464574e-08,3.502588e-09,-1.0018136e-08,1.2875506e-08,-1.3806658e-09,2.0380526e-08,8.296634e-10,3.266444e-08,-2.8983125e-09,2.3859583e-08,-1.0710968e-08,2.3050264e-08,-1.2810148e-08,1.1262616e-08,-2.430543e-08,1.9865977e-08,-5.013518e-09,9.193482e-09,-1.0006043e-09,1.897468e-08,3.4766725e-08,5.5077867e-09,4.1118863e-08,-9.873926e-10,6.924481e-08,1.1635566e-08
1.0689362e-08,-2.1807578e-08,-9.452675e-11,-1.7805919e-08,2.0911144e-09,-1.6129038e-08,-1.0682514e-09,-1.6532708e-08,-2.9267655e-09,-1.6862781e-08,-5.6717733e-09,-1.4702193e-08,-8.390308e-09,-1.5515996e-08,-1.1629642e-08,-1.1155936e-08,-9.9442214e-09,-8.019648e-09,-1.22513315e-08,-9.4282e-09,-1.134206e-08,8.167874e-09,-1.7751239e-08,7.067138e-09,-1.1027028e-08,2.3690955e-08,1.7311287e-09,2.4273687e-08,-9.070564e-10,2.2703833e-08,1.0950921e-08,1.854116e-08,5.389154e-09,1.4860398e-08,4.9671174e-09,1.22862405e-08,5.797027e-09,7.959805e-09,1.0086348e-08,1.45738195e-08,1.3892111e-08,-6.1912298e-09
-2.578089e-08,-1.3966217e-08,-1.7517708e-08,-1.6888471e-08,-1.9489066e-08,-1.814204e-08,-1.6909325e-08,-1.7942149e-08,-1.4224087e-08,-1.7231363e-08,-9.954168e-09,-2.050227e-08,-8.113567e-09,-2.3261318e-08,-7.7775715e-09,-2.7016542e-08,-7.485512e-09,-3.006519e-08,-1.0733762e-08,-3.3749e-08,-2.0781075e-08,-4.0052075e-08,-1.4956424e-08,-3.611992e-08,-1.02889794e-08,-1.5859303e-08,4.3145194e-09,-1.2527853e-08,2.7361766e-08,7.839859e-09,3.7687208e-08,-5.954389e-10,3.573096e-08,1.7694639e-09,3.2304264e-08,-1.1738721e-09,3.094706e-10,4.7535527e-09,-2.3996523e-09,2.1611383e-08,-2.6615753e-08,8.228045e-09
-2.0476946e-08,-1.6726357e-08,-2.148158e-08,-1.608164e-08,-1.9189802e-08,-1.5570084e-08,-1.6647348e-08,-1.5473507e-08,-1.4259248e-08,-1.7343686e-08,-1.21497115e-08,-1.7310589e-08,-8.954348e-09,-1.7430896e-08,-4.8360427e-09,-2.035062e-08,-5.9979532e-09,-2.3466084e-08,-5.768845e-09,-2.2601002e-08,4.5308193e-09,-2.6873606e-08,5.4357536e-09,-2.4771435e-08,1.8067874e-08,-3.7467593e-08,1.9534736e-08,-3.550725e-08,2.2069703e-08,-3.0452302e-08,2.9610634e-08,-2.3876572e-08,2.9655773e-08,-8.617741e-09,2.9731742e-08,-7.642838e-09,2.5349216e-08,-9.003591e-09,1.3201667e-08,-1.8138065e-08,-1.1851173e-08,-6.1585244e-09
3.6468784e-10,-1.5862572e-08,-4.4193564e-09,-1.4166727e-08,-4.080437e-09,-1.18391e-08,-6.1987295e-09,-1.1307065e-08,-9.199609e-09,-9.044649e-09,-1.185719e-08,-4.1315653e-09,-1.2737541e-08,-8.464704e-10,-1.2725631e-08,6.90583e-09,-5.173784e-09,1.3884769e-08,7.1700055e-09,1.795542e-08,2.3338629e-08,2.2337035e-08,4.1708244e-08,1.3559272e-08,4.0091994e-08,-4.6345963e-09,2.499914e-08,-7.620387e-09,1.4899261e-08,-2.9142424e-08,-8.232536e-09,-2.3317902e-08,-2.7514777e-09,-2.9834293e-08,8.483003e-10,-2.8689248e-08,1.8768928e-08,-1.7688123e-08,1.5870771e-08,-4.040337e-08,2.574057e-08,-2.5369278e-08
-5.8074523e-10,6.9315798e-09,6.0146395e-09,3.85556e-09,-1.3509758e-09,3.3252992e-10,-4.844593e-09,3.226901e-09,-7.1377992e-09,6.1914553e-09,-6.397912e-09,6.827477e-09,-8.488845e-09,1.0967015e-08,-5.6389786e-09,1.3541929e-08,-7.0057586e-09,1.727157e-08,-6.722826e-10,2.3340288e-08,1.29172015e-08,3.4875107e-08,2.6334227e-08,3.2984072e-08,1.884987e-08,2.8992641e-08,2.856082e-08,1.1946541e-08,3.938007e-09,-3.5401901e-09,-1.9902546e-09,-1.4567093e-08,-1.601089e-08,-3.0551632e-08,-3.451387e-08,-3.3257518e-08,-2.5425184e-08,-4.190948e-08,-2.1461581e-08,-3.0753263e-08,1.2793544e-08,-3.0473295e-08
-4.7091198e-09,1.7522044e-08,-1.27659465e-08,2.1297941e-08,-5.4557896e-09,2.5040569e-08,-1.7434659e-09,2.1300549e-08,-4.3711226e-11,1.8099978e-08,-1.1646763e-10,1.6929102e-08,1.6353116e-09,1.3223355e-08,4.3128934e-10,1.0469012e-08,1.5787028e-09,6.4186754e-09,-5.9142695e-09,3.4435654e-10,-1.8319245e-08,-4.2902397e-09,-3.3375212e-08,-9.2272245e-10,-1.7254962e-08,6.3664487e-09,-1.5497346e-08,1.5757251e-09,4.7557007e-09,4.515241e-09,1.0706496e-08,-1.564446e-08,-5.709082e-09,-2.502512e-08,-8.3547995e-09,-3.1569233e-08,-3.9947366e-08,-4.4912767e-08,-3.652405e-08,-2.3295563e-08,-4.173903e-08,-4.3951502e-08
-2.0197048e-08,3.8100346e-08,-8.224491e-09,3.4413613e-08,-5.6357905e-09,3.0996453e-08,-9.346632e-10,3.124129e-08,6.322458e-09,2.7081974e-08,9.241771e-09,2.1563146e-08,1.389704e-08,1.506036e-08,1.0686772e-08,5.393784e-09,7.844039e-09,-2.2562745e-09,-5.511058e-09,-1.1640077e-08,-3.0880138e-08,-3.344273e-08,-4.6683635e-08,-3.788488e-08,-4.7662123e-08,-3.0506527e-08,-4.4289514e-08,-2.2768727e-08,-2.0324865e-08,-1.5285957e-08,-1.0504703e-08,-1.6387393e-08,1.0443148e-08,-1.5629212e-08,1.8182597e-08,-2.2846798e-08,9.270259e-09,-2.6440732e-08,-4.9490723e-09,-3.8887922e-08,-5.4536383e-08,-4.722525e-08
2.9649883e-09,1.93894e-08,2.942545e-09,2.1457764e-08,4.883317e-09,2.0188216e-08,5.8460694e-09,1.8071828e-08,5.4046403e-09,1.9119682e-08,1.007325e-08,1.6879437e-08,7.652495e-09,1.486065e-08,1.1686577e-08,1.5564686e-08,1.0735203e-08,1.1432422e-08,1.068831e-08,9.149619e-09,3.8567545e-09,-1.9931614e-09,-3.367277e-10,-1.4366131e-08,-2.2852575e-08,-2.8290966e-08,-2.4626502e-08,-2.4026024e-08,-4.015676e-08,-2.0606295e-08,-2.4622937e-08,4.1319437e-10,-4.081399e-09,1.4370639e-08,5.663793e-09,8.816969e-09,2.9192403e-08,1.6553011e-08,2.0644075e-08,-1.561354e-08,5.7275082e-09,2.2642386e-09
2.0188931e-08,-3.7559285e-09,1.5306389e-08,-3.734527e-09,1.34713725e-08,6.3459997e-12,1.2520243e-08,2.1759907e-09,1.0644695e-08,2.2219375e-09,5.541366e-09,8.147945e-09,7.683574e-09,1.2789908e-08,7.266411e-09,1.6602637e-08,1.0573464e-08,2.357717e-08,2.1802238e-08,2.8334417e-08,3.3869767e-08,3.2917665e-08,4.513062e-08,3.3330654e-08,3.3316898e-08,2.7119682e-08,1.4337679e-08,2.4800055e-08,-7.610516e-09,2.4677066e-08,-2.5743628e-08,2.7796553e-08,-3.944834e-08,2.8438205e-08,-3.003304e-08,4.0289112e-08,-1.5973635e-08,4.6851618e-08,-6.049231e-11,5.9589233e-08,5.8991997e-08,7.214922e-08
