1:U1,1:U2,22:U1,22:U2,43:U1,43:U2,64:U1,64:U2,85:U1,85:U2,106:U1,106:U2,127:U1,127:U2,148:U1,148:U2,169:U1,169:U2,190:U1,190:U2,211:U1,211:U2,232:U1,232:U2,253:U1,253:U2,274:U1,274:U2,295:U1,295:U2,316:U1,316:U2,337:U1,337:U2,358:U1,358:U2,379:U1,379:U2,400:U1,400:U2,421:U1,421:U2
3.070068e-09,1.897489e-12,3.0696443e-09,1.8280247e-12,3.0691123e-09,1.6982328e-12,3.0684373e-09,1.4342659e-12,3.0674816e-09,1.1682594e-12,3.066356e-09,8.833037e-13,3.0648626e-09,6.432538e-13,3.0633025e-09,4.8254543e-13,3.0612126e-09,2.9491204e-13,3.0591378e-09,3.3469692e-13,3.0550018e-09,2.9741238e-13,3.0512601e-09,2.8955785e-12,3.047121e-09,4.718577e-12,3.0453942e-09,9.045729e-12,3.044036e-09,1.1113692e-11,3.0442109e-09,1.5048126e-11,3.0455727e-09,1.648338e-11,3.0466967e-09,1.8612577e-11,3.0491458e-09,1.9145319e-11,3.0494065e-09,1.891804e-11,3.050678e-09,1.9417577e-11
3.093378e-09,-1.483209e-11,3.0910867e-09,-1.482701e-11,3.0887084e-09,-1.4722674e-11,3.0861214e-09,-1.456678e-11,3.0833434e-09,-1.4180657e-11,3.080447e-09,-1.3575682e-11,3.0775145e-09,-1.2644323e-11,3.0747473e-09,-1.1477053e-11,3.0720404e-09,-1.0031231e-11,3.0701353e-09,-8.372402e-12,3.0686138e-09,-2.9448724e-12,3.0644698e-09,2.8759258e-12,3.0620662e-09,9.8764824e-12,3.0609626e-09,1.5903775e-11,3.0615055e-09,2.2403477e-11,3.0652807e-09,2.7203077e-11,3.0683929e-09,3.1715904e-11,3.0770355e-09,3.601891e-11,3.0827039e-09,3.717162e-11,3.0943437e-09,4.1444487e-11,3.1026843e-09,3.9676946e-11
3.1086482e-09,-2.8763979e-11,3.1052954e-09,-2.867565e-11,3.1019798e-09,-2.8374683e-11,3.0985696e-09,-2.7889205e-11,3.0952378e-09,-2.7111298e-11,3.0919196e-09,-2.611064e-11,3.088835e-09,-2.4752781e-11,3.0859413e-09,-2.3205115e-11,3.0834066e-09,-2.118271e-11,3.0818734e-09,-1.8986819e-11,3.0827816e-09,-1.0410108e-11,3.0807026e-09,-2.970786e-12,3.0810794e-09,7.353559e-12,3.0824565e-09,1.5414515e-11,3.0858713e-09,2.5485497e-11,3.092301e-09,3.261765e-11,3.0993663e-09,3.999716e-11,3.110288e-09,4.502373e-11,3.1195873e-09,4.8740297e-11,3.1332956e-09,5.2136753e-11,3.1445635e-09,5.186488e-11
3.118528e-09,-3.522043e-11,3.1153338e-09,-3.514901e-11,3.1122176e-09,-3.4826957e-11,3.1092062e-09,-3.4390022e-11,3.1063112e-09,-3.3718656e-11,3.1035958e-09,-3.2953956e-11,3.100956e-09,-3.1935243e-11,3.0986227e-09,-3.076224e-11,3.096305e-09,-2.914068e-11,3.095442e-09,-2.7050922e-11,3.0970169e-09,-1.9365292e-11,3.0984193e-09,-1.1033465e-11,3.102e-09,-1.81329e-12,3.1074507e-09,7.771471e-12,3.1150809e-09,1.700648e-11,3.1230742e-09,2.5844429e-11,3.1344274e-09,3.381258e-11,3.1430554e-09,3.9161764e-11,3.1559055e-09,4.514576e-11,3.164287e-09,4.5783558e-11,3.1759746e-09,4.868969e-11
3.1295246e-09,-3.4581484e-11,3.1269538e-09,-3.4575474e-11,3.124339e-09,-3.4369525e-11,3.121759e-09,-3.4004115e-11,3.1192569e-09,-3.340628e-11,3.1169547e-09,-3.2628903e-11,3.1147753e-09,-3.1610835e-11,3.1131162e-09,-3.035222e-11,3.1115466e-09,-2.8861203e-11,3.1117882e-09,-2.6719408e-11,3.1152183e-09,-2.0659757e-11,3.1195744e-09,-1.370496e-11,3.1263814e-09,-8.5661825e-12,3.1335468e-09,-1.4239337e-12,3.1434464e-09,3.0417643e-12,3.1511713e-09,8.9608885e-12,3.1615812e-09,1.3129041e-11,3.1681262e-09,1.741929e-11,3.1783378e-09,2.1023596e-11,3.1828677e-09,2.210792e-11,3.1924305e-09,2.4888237e-11
3.1443135e-09,-2.930144e-11,3.1418739e-09,-2.9242407e-11,3.139428e-09,-2.8981135e-11,3.1369587e-09,-2.8524672e-11,3.1345957e-09,-2.7709213e-11,3.1325027e-09,-2.6625407e-11,3.1307974e-09,-2.5184015e-11,3.1297858e-09,-2.3505019e-11,3.1293763e-09,-2.1538667e-11,3.1310843e-09,-1.9166854e-11,3.1378524e-09,-1.30306555e-11,3.1448415e-09,-9.6679305e-12,3.1525549e-09,-8.431764e-12,3.1596248e-09,-8.154629e-12,3.1658107e-09,-9.3106885e-12,3.1716125e-09,-1.03398835e-11,3.1753737e-09,-1.2533975e-11,3.1800227e-09,-1.3026317e-11,3.1815892e-09,-1.5405897e-11,3.1851712e-09,-1.4328101e-11,3.1868033e-09,-1.5562588e-11
3.159585e-09,-1.8566246e-11,3.1577156e-09,-1.8497604e-11,3.155895e-09,-1.8182855e-11,3.154148e-09,-1.7666967e-11,3.152616e-09,-1.6883803e-11,3.151424e-09,-1.5911208e-11,3.1506375e-09,-1.4700104e-11,3.1505125e-09,-1.3396512e-11,3.1509744e-09,-1.1810534e-11,3.1531653e-09,-1.022295e-11,3.1601164e-09,-5.5556536e-12,3.167848e-09,-5.9689653e-12,3.1747533e-09,-7.2683023e-12,3.1810488e-09,-1.3102463e-11,3.183012e-09,-1.8490992e-11,3.1860707e-09,-2.6226552e-11,3.183613e-09,-3.3327327e-11,3.1839198e-09,-4.0249908e-11,3.1780345e-09,-4.6469908e-11,3.177149e-09,-4.8767865e-11,3.1695435e-09,-5.2616956e-11
3.173355e-09,-1.6448272e-12,3.1733014e-09,-1.6352196e-12,3.173347e-09,-1.5284303e-12,3.1735266e-09,-1.4658069e-12,3.1738803e-09,-1.3694246e-12,3.1743792e-09,-1.3957933e-12,3.17506e-09,-1.4418865e-12,3.1758383e-09,-1.6451597e-12,3.1768166e-09,-1.8560752e-12,3.1778855e-09,-2.204619e-12,3.180396e-09,-3.3857596e-12,3.1852743e-09,-6.2579933e-12,3.1903555e-09,-1.04954075e-11,3.1951117e-09,-1.7421212e-11,3.197904e-09,-2.5012378e-11,3.198025e-09,-3.4609187e-11,3.195508e-09,-4.304285e-11,3.1896719e-09,-5.1966636e-11,3.182235e-09,-5.768548e-11,3.1730951e-09,-6.2718664e-11,3.1632097e-09,-6.407174e-11
3.1892609e-09,1.6351349e-11,3.1914427e-09,1.6220244e-11,3.1937084e-09,1.5956141e-11,3.1959482e-09,1.5443792e-11,3.1982685e-09,1.4712733e-11,3.200411e-09,1.3662615e-11,3.2024803e-09,1.2345989e-11,3.2041085e-09,1.0753215e-11,3.205584e-09,8.7887935e-12,3.2055347e-09,6.6261103e-12,3.2036647e-09,-5.494823e-13,3.2045324e-09,-5.731257e-12,3.2067602e-09,-1.2849093e-11,3.2076528e-09,-1.7993274e-11,3.210635e-09,-2.5238775e-11,3.2085883e-09,-3.1352882e-11,3.207886e-09,-3.7815414e-11,3.2002034e-09,-4.321592e-11,3.1952794e-09,-4.665036e-11,3.183042e-09,-5.0498664e-11,3.1764056e-09,-4.8892022e-11
3.2115584e-09,2.7411084e-11,3.214699e-09,2.7264793e-11,3.2178522e-09,2.6961032e-11,3.2209875e-09,2.6388076e-11,3.224125e-09,2.556987e-11,3.2270615e-09,2.4442042e-11,3.229889e-09,2.3015345e-11,3.2321876e-09,2.1290344e-11,3.2343255e-09,1.9219067e-11,3.2347196e-09,1.6731717e-11,3.232221e-09,8.654171e-12,3.2310437e-09,1.8205452e-12,3.2282e-09,-5.3100905e-12,3.2245098e-09,-1.00046985e-11,3.2209373e-09,-1.4502138e-11,3.2169771e-09,-1.6224643e-11,3.2142409e-09,-1.8458452e-11,3.2106164e-09,-1.9067274e-11,3.2079757e-09,-2.026392e-11,3.2035026e-09,-2.0987965e-11,3.1998502e-09,-2.0881592e-11
